[Name]
Series 1 at Qout

[Data]
Time [ s ],Qout [ kg m s^-3 ]
4.34000000e+002, 1.37505115e+003
4.35000000e+002, 1.37391333e+003
4.36000000e+002, 1.37281689e+003
4.37000000e+002, 1.37175391e+003
4.38000000e+002, 1.37071716e+003
4.39000000e+002, 1.36970105e+003
4.40000000e+002, 1.36870203e+003
4.41000000e+002, 1.36771729e+003
4.42000000e+002, 1.36674231e+003
4.43000000e+002, 1.36577246e+003
4.44000000e+002, 1.36481067e+003
4.45000000e+002, 1.36385645e+003
4.46000000e+002, 1.36291211e+003
4.47000000e+002, 1.36196375e+003
4.48000000e+002, 1.36100879e+003
4.49000000e+002, 1.36005347e+003
4.50000000e+002, 1.35910474e+003
4.51000000e+002, 1.35816565e+003
4.52000000e+002, 1.35723767e+003
4.53000000e+002, 1.35632007e+003
4.54000000e+002, 1.35540894e+003
4.55000000e+002, 1.35449500e+003
4.56000000e+002, 1.35357251e+003
4.57000000e+002, 1.35264099e+003
4.58000000e+002, 1.35169678e+003
4.59000000e+002, 1.35074133e+003
4.60000000e+002, 1.34978369e+003
4.61000000e+002, 1.34882581e+003
4.62000000e+002, 1.34786865e+003
4.63000000e+002, 1.34690271e+003
4.64000000e+002, 1.34590405e+003
4.65000000e+002, 1.34486450e+003
4.66000000e+002, 1.34379504e+003
4.67000000e+002, 1.34271204e+003
4.68000000e+002, 1.34162756e+003
4.69000000e+002, 1.34054565e+003
4.70000000e+002, 1.33945605e+003
4.71000000e+002, 1.33834668e+003
4.72000000e+002, 1.33722205e+003
4.73000000e+002, 1.33609546e+003
4.74000000e+002, 1.33495813e+003
4.75000000e+002, 1.33380249e+003
4.76000000e+002, 1.33264160e+003
4.77000000e+002, 1.33148938e+003
4.78000000e+002, 1.33027295e+003
4.79000000e+002, 1.32899341e+003
4.80000000e+002, 1.32767786e+003
4.81000000e+002, 1.32636279e+003
4.82000000e+002, 1.32507190e+003
4.83000000e+002, 1.32382080e+003
4.84000000e+002, 1.32259253e+003
4.85000000e+002, 1.32132178e+003
4.86000000e+002, 1.32001965e+003
4.87000000e+002, 1.31866870e+003
4.88000000e+002, 1.31726294e+003
4.89000000e+002, 1.31583716e+003
4.90000000e+002, 1.31442371e+003
4.91000000e+002, 1.31304126e+003
4.92000000e+002, 1.31164661e+003
4.93000000e+002, 1.31023730e+003
4.94000000e+002, 1.30883289e+003
4.95000000e+002, 1.30744482e+003
4.96000000e+002, 1.30594397e+003
4.97000000e+002, 1.30432458e+003
4.98000000e+002, 1.30264990e+003
4.99000000e+002, 1.30098755e+003
5.00000000e+002, 1.29938123e+003
5.10000000e+002, 1.28656189e+003
5.20000000e+002, 1.27410107e+003
5.30000000e+002, 1.26232898e+003
5.40000000e+002, 1.25173865e+003
5.50000000e+002, 1.25174768e+003
5.60000000e+002, 1.23379602e+003
5.70000000e+002, 1.22403455e+003
5.80000000e+002, 1.22403491e+003
5.90000000e+002, 1.20443811e+003
6.00000000e+002, 1.20444800e+003
6.10000000e+002, 1.18642688e+003
6.20000000e+002, 1.17666895e+003
6.30000000e+002, 1.17667078e+003
6.40000000e+002, 1.15994739e+003
6.50000000e+002, 1.15996106e+003
6.60000000e+002, 1.14548413e+003
6.70000000e+002, 1.14549451e+003
6.80000000e+002, 1.12969458e+003
