[Name]
Series 1 at Qout

[Data]
Time [ s ],Qout [ kg m s^-3 ]
1.45000000e+003, 1.08529102e+003
1.46000000e+003, 1.08529065e+003
1.47000000e+003, 1.06490503e+003
1.48000000e+003, 1.06490491e+003
1.49000000e+003, 1.04377698e+003
1.50000000e+003, 1.04377698e+003
1.51000000e+003, 1.02260944e+003
1.52000000e+003, 1.02260944e+003
1.53000000e+003, 1.00161920e+003
1.54000000e+003, 1.00161926e+003
1.55000000e+003, 9.81674927e+002
1.56000000e+003, 9.81674866e+002
1.57000000e+003, 9.62146423e+002
1.58000000e+003, 9.62146362e+002
1.59000000e+003, 9.43096863e+002
1.60000000e+003, 9.43096863e+002
1.61000000e+003, 9.24606689e+002
1.62000000e+003, 9.24606567e+002
1.63000000e+003, 9.06754944e+002
1.64000000e+003, 9.06754883e+002
1.65000000e+003, 8.89569153e+002
1.66000000e+003, 8.89569153e+002
1.67000000e+003, 8.73009460e+002
1.68000000e+003, 8.73009460e+002
1.69000000e+003, 8.57004883e+002
1.70000000e+003, 8.57004944e+002
1.71000000e+003, 8.41554443e+002
1.72000000e+003, 8.41554565e+002
1.73000000e+003, 8.26667725e+002
1.74000000e+003, 8.26667908e+002
1.75000000e+003, 8.12336426e+002
1.76000000e+003, 8.12336426e+002
1.77000000e+003, 7.98518616e+002
1.78000000e+003, 7.98518616e+002
1.79000000e+003, 7.85154297e+002
1.80000000e+003, 7.85154358e+002
1.81000000e+003, 7.72220337e+002
1.82000000e+003, 7.72220337e+002
1.83000000e+003, 7.59718994e+002
1.84000000e+003, 7.59718994e+002
1.85000000e+003, 7.47656189e+002
1.86000000e+003, 7.47656189e+002
1.87000000e+003, 7.35998108e+002
1.88000000e+003, 7.35998047e+002
1.89000000e+003, 7.24697632e+002
1.90000000e+003, 7.24697632e+002
1.91000000e+003, 7.13733032e+002
1.92000000e+003, 7.13732971e+002
1.93000000e+003, 7.03092651e+002
1.94000000e+003, 7.03092651e+002
1.95000000e+003, 6.92784302e+002
1.96000000e+003, 6.92784302e+002
1.97000000e+003, 6.82795837e+002
1.98000000e+003, 6.82795898e+002
1.99000000e+003, 6.73094971e+002
2.00000000e+003, 6.73095032e+002
2.01000000e+003, 6.63648438e+002
2.02000000e+003, 6.63648376e+002
2.03000000e+003, 6.54452026e+002
2.04000000e+003, 6.54451904e+002
2.05000000e+003, 6.45500916e+002
2.06000000e+003, 6.45500916e+002
2.07000000e+003, 6.36797058e+002
2.08000000e+003, 6.36797119e+002
2.09000000e+003, 6.28321472e+002
2.10000000e+003, 6.28321472e+002
2.11000000e+003, 6.20059265e+002
2.12000000e+003, 6.20059265e+002
2.13000000e+003, 6.11984497e+002
2.14000000e+003, 6.11984558e+002
2.15000000e+003, 6.04085938e+002
2.16000000e+003, 6.04085938e+002
2.17000000e+003, 5.96364563e+002
2.18000000e+003, 5.92373657e+002
2.19000000e+003, 5.92373718e+002
2.20000000e+003, 5.84894897e+002
2.21000000e+003, 5.84894897e+002
2.22000000e+003, 5.77546448e+002
2.23000000e+003, 5.77546509e+002
2.24000000e+003, 5.70313354e+002
2.25000000e+003, 5.70313354e+002
2.26000000e+003, 5.63193420e+002
2.27000000e+003, 5.63193237e+002
2.28000000e+003, 5.56177917e+002
2.29000000e+003, 5.56177917e+002
2.30000000e+003, 5.49267212e+002
2.31000000e+003, 5.49267212e+002
2.32000000e+003, 5.42456421e+002
2.33000000e+003, 5.42456421e+002
2.34000000e+003, 5.35732300e+002
2.35000000e+003, 5.35732300e+002
2.36000000e+003, 5.29097229e+002
2.37000000e+003, 5.29097229e+002
2.38000000e+003, 5.22529846e+002
2.39000000e+003, 5.22529846e+002
2.40000000e+003, 5.16032715e+002
2.41000000e+003, 5.16032715e+002
2.42000000e+003, 5.09603363e+002
2.43000000e+003, 5.09603363e+002
2.44000000e+003, 5.03229034e+002
2.45000000e+003, 5.03229034e+002
2.46000000e+003, 4.96909576e+002
2.47000000e+003, 4.96909576e+002
2.48000000e+003, 4.90628265e+002
2.49000000e+003, 4.90628265e+002
2.50000000e+003, 4.84389679e+002
2.51000000e+003, 4.84389679e+002
2.52000000e+003, 4.78176575e+002
2.53000000e+003, 4.78176575e+002
2.54000000e+003, 4.71989960e+002
2.55000000e+003, 4.71989960e+002
2.56000000e+003, 4.65819580e+002
2.57000000e+003, 4.62611084e+002
2.58000000e+003, 4.59400269e+002
2.59000000e+003, 4.59400269e+002
2.60000000e+003, 4.53243225e+002
2.61000000e+003, 4.53243225e+002
2.62000000e+003, 4.47087189e+002
2.63000000e+003, 4.47087189e+002
2.64000000e+003, 4.40914063e+002
2.65000000e+003, 4.37699219e+002
2.66000000e+003, 4.37699219e+002
2.67000000e+003, 4.31531006e+002
2.68000000e+003, 4.31531006e+002
2.69000000e+003, 4.25384583e+002
2.70000000e+003, 4.25384552e+002
2.71000000e+003, 4.19261169e+002
2.72000000e+003, 4.19261169e+002
2.73000000e+003, 4.13171417e+002
2.74000000e+003, 4.13171417e+002
2.75000000e+003, 4.07127991e+002
2.76000000e+003, 4.07128021e+002
